gid,name,alternative,source_author,last_update,descriptor,avg_strike,avg_dip,area_km2,exposure,slip_sense,ID_comments,USGS_ID,fault_strand_model_description,reference,area,zone,section,fault,TRACE_tb_gid
"288","SAFS-SAFZ-1812-San_Andreas_fault_rupture-CFM5",2,"UCSB","CFM5","LOZS",124,89,2832.06,"surface","rlss",,,"Lozos 1812 rupture model","Lozos, 2016 (Science)","San Andreas Fault System","SAFZ rupture models","1812 Rupture-Mojave SAF+nSJF","San Andreas fault",[430,431,432,433,434,435]
"298","SAFS-SAFZ-MJVS-San_Andreas_fault-CFM4",1,"UCSB","CFM4",,296,90,1189.52,"surface","rlss",,"1h","Qfaults + relocated seismicity","Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012","San Andreas Fault System","San Andreas fault zone","Mojave","San Andreas fault",447
"304","SAFS-SAFZ-SBMT-San_Andreas_fault-CFM4",1,"UCSB","CFM4","ALT1",119,90,1051.3,"surface","rlss",,"1i","Qfaults + relocated seismicity","Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012","San Andreas Fault System","San Andreas fault zone","San Bernardino Mountains","San Andreas fault",454
